# TITAN 3C TRANSTAGE DEB (43453), e: 0.0991889, p: 29907.5, a: 37898.4
# FREGAT DEB (45635), e: 0.199661, p: 474.246, a: 3893.18
# DELTA 2 R/B (40060), e: 0.306813, p: 2379.3, a: 10131.6
# ATLAS 5 CENTAUR DEB (44008), e: 0.397373, p: 10702.9, a: 33229.3
# ATLAS 5 CENTAUR DEB (43955), e: 0.499773, p: 7237.65, a: 34444.5
# FALCON 9 R/B (44869), e: 0.60021, p: 280.274, a: 20273
# BREEZE-M DEB (TANK) (40260), e: 0.699996, p: 955.296, a: 35177.3
# BREEZE-M R/B (41582), e: 0.801434, p: 1368.97, a: 63905.1
# MMS 1 (40482), e: 0.862811, p: 6958.97, a: 174719
Index	 0.1	 0.2	 0.3	 0.4	 0.5	 0.6	 0.7	 0.8	 0.9
215	1.03571	5.19524	0.814805	0.729089	1.29459	1.77943	0.731946	0.199082	1.11907	215
216	1.03595	4.72234	0.813869	0.732088	1.29531	1.79849	0.733392	0.199475	1.11979	216
217	1.03601	4.34466	0.813871	0.735002	1.29604	1.81749	0.73483	0.198964	1.12045	217
218	1.03616	4.03846	0.813865	0.737834	1.2968	1.83797	0.736263	0.198459	1.12105	218
219	1.03632	3.78452	0.813851	0.740444	1.29757	1.86044	0.737689	0.197961	1.12159	219
220	1.03657	3.56257	0.814299	0.74302	1.29837	1.88279	0.739108	0.197469	1.12206	220
221	1.03665	3.37691	0.814742	0.745621	1.29919	1.90681	0.740521	0.196983	1.12247	221
222	1.03682	3.21621	0.814706	0.748152	1.29573	1.93315	0.741927	0.196503	1.12265	222
223	1.03709	3.07575	0.814662	0.750614	1.2966	1.9593	0.743325	0.196031	1.12288	223
224	1.03718	2.95195	0.814611	0.753009	1.29769	1.9874	0.744717	0.195564	1.12308	224
225	1.03736	2.84363	0.814554	0.755341	1.30267	2.01818	0.746101	0.189803	1.1232	225
226	1.03755	2.7474	0.814489	0.75761	1.3036	2.04876	0.747478	0.194586	1.12325	226
227	1.03783	2.65537	0.814418	0.760081	1.30456	2.08164	0.748847	0.194112	1.12322	227
228	1.03795	2.57549	0.81434	0.762234	1.30554	2.11767	0.750209	0.193645	1.1231	228
229	1.03816	2.50292	0.814255	0.764329	1.30655	2.15354	0.751563	0.193178	1.12291	229
230	1.03845	2.43672	0.814163	0.76637	1.30758	2.19215	0.752909	0.192713	1.12262	230
231	1.03868	2.37607	0.814065	0.768357	1.30864	2.23344	0.754246	0.19225	1.12225	231
232	1.03881	2.32163	0.813961	0.770291	1.30973	2.27658	0.755576	0.191787	1.12178	232
233	1.03904	2.27189	0.81385	0.772176	1.31085	2.32398	0.756897	0.191322	1.12122	233
